"Month","Country","HBT","TreatmentLocation","DepartmentType","NumberOfAttendancesAll","NumberWithin4HoursAll","NumberOver4HoursAll","PercentageWithin4HoursAll","NumberOfAttendancesEpisode","NumberOfAttendancesEpisodeQF","NumberWithin4HoursEpisode","NumberWithin4HoursEpisodeQF","NumberOver4HoursEpisode","NumberOver4HoursEpisodeQF","PercentageWithin4HoursEpisode","PercentageWithin4HoursEpisodeQF","NumberOver8HoursEpisode","NumberOver8HoursEpisodeQF","PercentageOver8HoursEpisode","PercentageOver8HoursEpisodeQF","NumberOver12HoursEpisode","NumberOver12HoursEpisodeQF","PercentageOver12HoursEpisode","PercentageOver12HoursEpisodeQF"
"201102","S92000003","S08000022","C121H","Emergency Department",364,362,2,99.5,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","C122H","Minor Injury Unit or Other",414,407,7,98.3,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H101H","Minor Injury Unit or Other",168,168,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H103H","Emergency Department",398,395,3,99.2,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H106H","Minor Injury Unit or Other",38,38,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H202H","Emergency Department",2202,2157,45,98,2202,"",2157,"",45,"",98,"",2,"",0.1,"",1,"",0,""
"201102","S92000003","S08000022","H208H","Minor Injury Unit or Other",248,248,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H210H","Minor Injury Unit or Other",57,57,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H212H","Emergency Department",619,606,13,97.9,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H214H","Minor Injury Unit or Other",299,299,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H215H","Minor Injury Unit or Other",193,193,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H217H","Minor Injury Unit or Other",119,119,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H219H","Minor Injury Unit or Other",126,126,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H224H","Minor Injury Unit or Other",227,225,2,99.1,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000022","H227B","Minor Injury Unit or Other",185,185,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000032","L106H","Emergency Department",4994,4729,265,94.7,4994,"",4729,"",265,"",94.7,"",15,"",0.3,"",1,"",0,""
"201102","S92000003","S08000032","L206H","Minor Injury Unit or Other",43,43,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000032","L207H","Minor Injury Unit or Other",66,66,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000032","L302H","Emergency Department",4255,4039,216,94.9,4255,"",4039,"",216,"",94.9,"",32,"",0.8,"",16,"",0.4,""
"201102","S92000003","S08000032","L308H","Emergency Department",4970,4701,269,94.6,4970,"",4701,"",269,"",94.6,"",20,"",0.4,"",0,"",0,""
"201102","S92000003","S08000024","S102H","Minor Injury Unit or Other",9,9,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000024","S108H","Minor Injury Unit or Other",113,113,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000024","S116H","Minor Injury Unit or Other",2852,2797,55,98.1,2852,"",2797,"",55,"",98.1,"",4,"",0.1,"",0,"",0,""
"201102","S92000003","S08000024","S308H","Emergency Department",3767,3644,123,96.7,3767,"",3644,"",123,"",96.7,"",20,"",0.5,"",2,"",0.1,""
"201102","S92000003","S08000024","S314H","Emergency Department",8322,8030,292,96.5,8322,"",8030,"",292,"",96.5,"",14,"",0.2,"",0,"",0,""
"201102","S92000003","S08000024","S319H","Emergency Department",3260,3203,57,98.3,3260,"",3203,"",57,"",98.3,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000025","R103H","Minor Injury Unit or Other",163,162,1,99.4,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000026","Z102H","Emergency Department",602,600,2,99.7,602,"",600,"",2,"",99.7,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T101H","Emergency Department",3493,3454,39,98.9,3493,"",3454,"",39,"",98.9,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T202H","Emergency Department",1788,1779,9,99.5,1788,"",1779,"",9,"",99.5,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T205H","Minor Injury Unit or Other",26,26,0,100,26,"",26,"",0,"",100,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T207H","Minor Injury Unit or Other",8,8,0,100,8,"",8,"",0,"",100,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T209H","Minor Injury Unit or Other",221,221,0,100,221,"",221,"",0,"",100,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T304H","Minor Injury Unit or Other",981,980,1,99.9,981,"",980,"",1,"",99.9,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T305H","Minor Injury Unit or Other",264,262,2,99.2,264,"",262,"",2,"",99.2,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T316H","Minor Injury Unit or Other",156,156,0,100,156,"",156,"",0,"",100,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T319H","Minor Injury Unit or Other",530,530,0,100,530,"",530,"",0,"",100,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T320H","Minor Injury Unit or Other",85,85,0,100,85,"",85,"",0,"",100,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000030","T357C","Minor Injury Unit or Other",591,591,0,100,591,"",591,"",0,"",100,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000028","W106H","Minor Injury Unit or Other",45,43,2,95.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201102","S92000003","S08000028","W107H","Emergency Department",455,436,19,95.8,455,"",436,"",19,"",95.8,"",0,"",0,"",0,"",0,""
"201102","S92000003","S08000028","W108H","Minor Injury Unit or Other",72,72,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000015","A101H","Minor Injury Unit or Other",232,232,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000015","A110H","Minor Injury Unit or Other",33,33,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000015","A111H","Emergency Department",6002,5824,178,97,6002,"",5824,"",178,"",97,"",8,"",0.1,"",0,"",0,""
"201103","S92000003","S08000015","A210H","Emergency Department",3670,3478,192,94.8,3670,"",3478,"",192,"",94.8,"",2,"",0.1,"",0,"",0,""
"201103","S92000003","S08000015","A216H","Minor Injury Unit or Other",101,101,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000016","B103H","Minor Injury Unit or Other",15,15,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000016","B105H","Minor Injury Unit or Other",91,91,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000016","B114H","Minor Injury Unit or Other",29,29,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000016","B118H","Minor Injury Unit or Other",89,89,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000016","B120H","Emergency Department",2051,1981,70,96.6,2051,"",1981,"",70,"",96.6,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000017","Y101H","Minor Injury Unit or Other",43,43,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000017","Y106H","Minor Injury Unit or Other",72,72,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000017","Y109H","Minor Injury Unit or Other",10,10,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000017","Y110H","Minor Injury Unit or Other",24,24,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000017","Y144H","Emergency Department",889,860,29,96.7,889,"",860,"",29,"",96.7,"",3,"",0.3,"",0,"",0,""
"201103","S92000003","S08000017","Y146H","Emergency Department",2784,2650,134,95.2,2784,"",2650,"",134,"",95.2,"",2,"",0.1,"",0,"",0,""
"201103","S92000003","S08000029","F704H","Emergency Department",2822,2750,72,97.4,2822,"",2750,"",72,"",97.4,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000029","F708H","Minor Injury Unit or Other",117,117,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000029","F709H","Minor Injury Unit or Other",416,416,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000029","F805H","Emergency Department",4159,3738,421,89.9,4159,"",3738,"",421,"",89.9,"",85,"",2,"",32,"",0.8,""
"201103","S92000003","S08000019","V102H","Minor Injury Unit or Other",1416,1416,0,100,1416,"",1416,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000019","V201H","Emergency Department",4808,4419,389,91.9,4808,"",4419,"",389,"",91.9,"",21,"",0.4,"",1,"",0,""
"201103","S92000003","S08000020","N101H","Emergency Department",5192,5060,132,97.5,5192,"",5060,"",132,"",97.5,"",17,"",0.3,"",2,"",0,""
"201103","S92000003","S08000020","N121H","Emergency Department",1804,1792,12,99.3,1804,"",1792,"",12,"",99.3,"",1,"",0.1,"",0,"",0,""
"201103","S92000003","S08000020","N151H","Minor Injury Unit or Other",71,71,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N331H","Minor Injury Unit or Other",20,20,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N332H","Minor Injury Unit or Other",56,56,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N333H","Minor Injury Unit or Other",1114,1110,4,99.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N334H","Minor Injury Unit or Other",766,766,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N335H","Minor Injury Unit or Other",289,289,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N336H","Minor Injury Unit or Other",166,166,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N337H","Minor Injury Unit or Other",311,311,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N411H","Emergency Department",1940,1848,92,95.3,1940,"",1848,"",92,"",95.3,"",6,"",0.3,"",0,"",0,""
"201103","S92000003","S08000020","N431H","Minor Injury Unit or Other",74,74,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N432H","Minor Injury Unit or Other",36,36,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N433H","Minor Injury Unit or Other",131,131,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N434H","Minor Injury Unit or Other",55,55,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N451H","Minor Injury Unit or Other",27,27,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000020","N494H","Minor Injury Unit or Other",98,98,0,100,98,"",98,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000031","C206H","Minor Injury Unit or Other",1232,1207,25,98,1232,"",1207,"",25,"",98,"",1,"",0.1,"",0,"",0,""
"201103","S92000003","S08000031","C313H","Emergency Department",2825,2711,114,96,2825,"",2711,"",114,"",96,"",4,"",0.1,"",0,"",0,""
"201103","S92000003","S08000031","C418H","Emergency Department",6410,5947,463,92.8,6410,"",5947,"",463,"",92.8,"",18,"",0.3,"",0,"",0,""
"201103","S92000003","S08000031","G107H","Emergency Department",7118,6405,713,90,7118,"",6405,"",713,"",90,"",29,"",0.4,"",0,"",0,""
"201103","S92000003","S08000031","G207H","Minor Injury Unit or Other",692,692,0,100,692,"",692,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000031","G207H","Emergency Department",1697,1681,16,99.1,1697,"",1681,"",16,"",99.1,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000031","G306H","Minor Injury Unit or Other",1509,1509,0,100,1509,"",1509,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000031","G306H","Emergency Department",5134,4808,326,93.7,5134,"",4808,"",326,"",93.7,"",17,"",0.3,"",0,"",0,""
"201103","S92000003","S08000031","G405H","Emergency Department",4066,3937,129,96.8,4066,"",3937,"",129,"",96.8,"",1,"",0,"",0,"",0,""
"201103","S92000003","S08000031","G513H","Emergency Department",4453,4332,121,97.3,4453,"",4332,"",121,"",97.3,"",2,"",0,"",0,"",0,""
"201103","S92000003","S08000031","G516H","Emergency Department",4799,4174,625,87,4799,"",4174,"",625,"",87,"",107,"",2.2,"",2,"",0,""
"201103","S92000003","S08000022","C106H","Minor Injury Unit or Other",528,522,6,98.9,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","C108H","Minor Injury Unit or Other",81,78,3,96.3,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","C113H","Minor Injury Unit or Other",290,286,4,98.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","C117J","Minor Injury Unit or Other",49,47,2,95.9,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","C121H","Emergency Department",455,451,4,99.1,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","C122H","Minor Injury Unit or Other",399,399,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H101H","Minor Injury Unit or Other",173,172,1,99.4,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H103H","Emergency Department",474,466,8,98.3,474,"",466,"",8,"",98.3,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000022","H106H","Minor Injury Unit or Other",38,38,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H202H","Emergency Department",2586,2541,45,98.3,2586,"",2541,"",45,"",98.3,"",2,"",0.1,"",2,"",0.1,""
"201103","S92000003","S08000022","H208H","Minor Injury Unit or Other",340,339,1,99.7,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H210H","Minor Injury Unit or Other",94,94,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H212H","Emergency Department",629,615,14,97.8,629,"",615,"",14,"",97.8,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000022","H214H","Minor Injury Unit or Other",330,330,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H215H","Minor Injury Unit or Other",190,190,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H217H","Minor Injury Unit or Other",141,141,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H219H","Minor Injury Unit or Other",173,172,1,99.4,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H224H","Minor Injury Unit or Other",254,251,3,98.8,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000022","H227B","Minor Injury Unit or Other",162,162,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000032","L106H","Emergency Department",5924,5482,442,92.5,5924,"",5482,"",442,"",92.5,"",17,"",0.3,"",0,"",0,""
"201103","S92000003","S08000032","L206H","Minor Injury Unit or Other",54,54,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000032","L207H","Minor Injury Unit or Other",113,113,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000032","L302H","Emergency Department",5042,4481,561,88.9,5042,"",4481,"",561,"",88.9,"",96,"",1.9,"",30,"",0.6,""
"201103","S92000003","S08000032","L308H","Emergency Department",5650,5275,375,93.4,5650,"",5275,"",375,"",93.4,"",14,"",0.2,"",1,"",0,""
"201103","S92000003","S08000024","S102H","Minor Injury Unit or Other",7,7,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000024","S108H","Minor Injury Unit or Other",130,130,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000024","S116H","Minor Injury Unit or Other",3329,3261,68,98,3329,"",3261,"",68,"",98,"",3,"",0.1,"",0,"",0,""
"201103","S92000003","S08000024","S308H","Emergency Department",4394,4256,138,96.9,4394,"",4256,"",138,"",96.9,"",15,"",0.3,"",3,"",0.1,""
"201103","S92000003","S08000024","S314H","Emergency Department",9475,9139,336,96.5,9475,"",9139,"",336,"",96.5,"",21,"",0.2,"",1,"",0,""
"201103","S92000003","S08000024","S319H","Emergency Department",3910,3869,41,99,3910,"",3869,"",41,"",99,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000025","R103H","Minor Injury Unit or Other",252,251,1,99.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000026","Z102H","Emergency Department",685,684,1,99.9,685,"",684,"",1,"",99.9,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T101H","Emergency Department",4005,3930,75,98.1,4005,"",3930,"",75,"",98.1,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T202H","Emergency Department",1990,1975,15,99.2,1990,"",1975,"",15,"",99.2,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T205H","Minor Injury Unit or Other",24,24,0,100,24,"",24,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T207H","Minor Injury Unit or Other",16,16,0,100,16,"",16,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T209H","Minor Injury Unit or Other",227,227,0,100,227,"",227,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T304H","Minor Injury Unit or Other",1069,1069,0,100,1069,"",1069,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T305H","Minor Injury Unit or Other",287,287,0,100,287,"",287,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T316H","Minor Injury Unit or Other",210,208,2,99,210,"",208,"",2,"",99,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T319H","Minor Injury Unit or Other",543,543,0,100,543,"",543,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T320H","Minor Injury Unit or Other",111,111,0,100,111,"",111,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000030","T357C","Minor Injury Unit or Other",550,550,0,100,550,"",550,"",0,"",100,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000028","W106H","Minor Injury Unit or Other",56,56,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201103","S92000003","S08000028","W107H","Emergency Department",513,495,18,96.5,513,"",495,"",18,"",96.5,"",0,"",0,"",0,"",0,""
"201103","S92000003","S08000028","W108H","Minor Injury Unit or Other",80,80,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000015","A101H","Minor Injury Unit or Other",245,245,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000015","A110H","Minor Injury Unit or Other",61,61,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000015","A111H","Emergency Department",6011,5850,161,97.3,6011,"",5850,"",161,"",97.3,"",5,"",0.1,"",1,"",0,""
"201104","S92000003","S08000015","A210H","Emergency Department",3813,3705,108,97.2,3813,"",3705,"",108,"",97.2,"",5,"",0.1,"",0,"",0,""
"201104","S92000003","S08000015","A216H","Minor Injury Unit or Other",103,103,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000016","B103H","Minor Injury Unit or Other",17,17,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000016","B105H","Minor Injury Unit or Other",119,119,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000016","B114H","Minor Injury Unit or Other",23,23,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000016","B118H","Minor Injury Unit or Other",70,70,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000016","B120H","Emergency Department",2012,1982,30,98.5,2012,"",1982,"",30,"",98.5,"",0,"",0,"",0,"",0,""
"201104","S92000003","S08000017","Y101H","Minor Injury Unit or Other",51,51,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000017","Y106H","Minor Injury Unit or Other",84,84,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000017","Y109H","Minor Injury Unit or Other",7,7,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000017","Y110H","Minor Injury Unit or Other",45,45,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000017","Y144H","Emergency Department",1084,1057,27,97.5,1084,"",1057,"",27,"",97.5,"",0,"",0,"",0,"",0,""
"201104","S92000003","S08000017","Y146H","Emergency Department",2878,2737,141,95.1,2878,"",2737,"",141,"",95.1,"",1,"",0,"",0,"",0,""
"201104","S92000003","S08000029","F704H","Emergency Department",2991,2905,86,97.1,2991,"",2905,"",86,"",97.1,"",7,"",0.2,"",0,"",0,""
"201104","S92000003","S08000029","F708H","Minor Injury Unit or Other",107,107,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000029","F709H","Minor Injury Unit or Other",443,443,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000029","F805H","Emergency Department",4397,3714,683,84.5,4397,"",3714,"",683,"",84.5,"",137,"",3.1,"",49,"",1.1,""
"201104","S92000003","S08000019","V102H","Minor Injury Unit or Other",1462,1462,0,100,1462,"",1462,"",0,"",100,"",0,"",0,"",0,"",0,""
"201104","S92000003","S08000019","V201H","Emergency Department",4892,4591,301,93.8,4892,"",4591,"",301,"",93.8,"",7,"",0.1,"",0,"",0,""
"201104","S92000003","S08000020","N101H","Emergency Department",5325,5216,109,98,5325,"",5216,"",109,"",98,"",11,"",0.2,"",0,"",0,""
"201104","S92000003","S08000020","N121H","Emergency Department",1708,1690,18,98.9,1708,"",1690,"",18,"",98.9,"",0,"",0,"",0,"",0,""
"201104","S92000003","S08000020","N151H","Minor Injury Unit or Other",121,121,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N331H","Minor Injury Unit or Other",34,34,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N332H","Minor Injury Unit or Other",60,60,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N333H","Minor Injury Unit or Other",1195,1190,5,99.6,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N334H","Minor Injury Unit or Other",778,778,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N335H","Minor Injury Unit or Other",288,286,2,99.3,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N336H","Minor Injury Unit or Other",209,209,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N337H","Minor Injury Unit or Other",358,358,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N411H","Emergency Department",2081,1984,97,95.3,2081,"",1984,"",97,"",95.3,"",7,"",0.3,"",2,"",0.1,""
"201104","S92000003","S08000020","N431H","Minor Injury Unit or Other",82,82,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N432H","Minor Injury Unit or Other",37,37,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N433H","Minor Injury Unit or Other",88,88,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N434H","Minor Injury Unit or Other",44,44,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N451H","Minor Injury Unit or Other",23,23,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"201104","S92000003","S08000020","N494H","Minor Injury Unit or Other",98,98,0,100,98,"",98,"",0,"",100,"",0,"",0,"",0,"",0,""
"201104","S92000003","S08000031","C206H","Minor Injury Unit or Other",1198,1183,15,98.7,1198,"",1183,"",15,"",98.7,"",1,"",0.1,"",0,"",0,""
"201104","S92000003","S08000031","C313H","Emergency Department",2981,2814,167,94.4,2981,"",2814,"",167,"",94.4,"",3,"",0.1,"",0,"",0,""
"201104","S92000003","S08000031","C418H","Emergency Department",6296,5796,500,92.1,6296,"",5796,"",500,"",92.1,"",13,"",0.2,"",0,"",0,""
"201104","S92000003","S08000031","G107H","Emergency Department",7118,6770,348,95.1,7118,"",6770,"",348,"",95.1,"",5,"",0.1,"",0,"",0,""
"201104","S92000003","S08000031","G207H","Minor Injury Unit or Other",1271,1271,0,100,1271,"",1271,"",0,"",100,"",0,"",0,"",0,"",0,""
"201104","S92000003","S08000031","G306H","Minor Injury Unit or Other",1538,1538,0,100,1538,"",1538,"",0,"",100,"",0,"",0,"",0,"",0,""
"201104","S92000003","S08000031","G306H","Emergency Department",5168,4810,358,93.1,5168,"",4810,"",358,"",93.1,"",17,"",0.3,"",0,"",0,""
"201104","S92000003","S08000031","G405H","Emergency Department",4050,3972,78,98.1,4050,"",3972,"",78,"",98.1,"",1,"",0,"",0,"",0,""
"201104","S92000003","S08000031","G513H","Emergency Department",3933,3806,127,96.8,3933,"",3806,"",127,"",96.8,"",1,"",0,"",0,"",0,""
"201104","S92000003","S08000031","G516H","Emergency Department",4863,4493,370,92.4,4863,"",4493,"",370,"",92.4,"",57,"",1.2,"",0,"",0,""
