month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds,reason_for_delay
2017-10-01,S08000025,18-74,47,2,All Delay Reasons
2017-10-01,S08000025,18-74,5,0,Health and Social Care Reasons
2017-10-01,S08000025,18-74,0,0,Patient and Family Related Reasons
2017-10-01,S08000025,18-74,31,1,Code 9 AWI
2017-10-01,S08000025,18-74,11,0,Code 9 Non-AWI
2017-10-01,S08000025,75plus,17,1,All Delay Reasons
2017-10-01,S08000025,75plus,4,0,Health and Social Care Reasons
2017-10-01,S08000025,75plus,0,0,Patient and Family Related Reasons
2017-10-01,S08000025,75plus,0,0,Code 9 AWI
2017-10-01,S08000025,75plus,13,0,Code 9 Non-AWI
2017-10-01,S08000026,18plus,128,4,All Delay Reasons
2017-10-01,S08000026,18plus,117,4,Health and Social Care Reasons
2017-10-01,S08000026,18plus,8,0,Patient and Family Related Reasons
2017-10-01,S08000026,18plus,0,0,Code 9 AWI
2017-10-01,S08000026,18plus,3,0,Code 9 Non-AWI
2017-10-01,S08000026,18-74,42,1,All Delay Reasons
2017-10-01,S08000026,18-74,39,1,Health and Social Care Reasons
2017-10-01,S08000026,18-74,0,0,Patient and Family Related Reasons
2017-10-01,S08000026,18-74,0,0,Code 9 AWI
2017-10-01,S08000026,18-74,3,0,Code 9 Non-AWI
2017-10-01,S08000026,75plus,86,3,All Delay Reasons
2017-10-01,S08000026,75plus,78,3,Health and Social Care Reasons
2017-10-01,S08000026,75plus,8,0,Patient and Family Related Reasons
2017-10-01,S08000026,75plus,0,0,Code 9 AWI
2017-10-01,S08000026,75plus,0,0,Code 9 Non-AWI
2017-10-01,S08000028,18plus,440,14,All Delay Reasons
2017-10-01,S08000028,18plus,152,5,Health and Social Care Reasons
2017-10-01,S08000028,18plus,9,0,Patient and Family Related Reasons
2017-10-01,S08000028,18plus,0,0,Code 9 AWI
2017-10-01,S08000028,18plus,279,9,Code 9 Non-AWI
2017-10-01,S08000028,18-74,34,1,All Delay Reasons
2017-10-01,S08000028,18-74,12,0,Health and Social Care Reasons
2017-10-01,S08000028,18-74,9,0,Patient and Family Related Reasons
2017-10-01,S08000028,18-74,0,0,Code 9 AWI
2017-10-01,S08000028,18-74,13,0,Code 9 Non-AWI
2017-10-01,S08000028,75plus,406,13,All Delay Reasons
2017-10-01,S08000028,75plus,140,5,Health and Social Care Reasons
2017-10-01,S08000028,75plus,0,0,Patient and Family Related Reasons
2017-10-01,S08000028,75plus,0,0,Code 9 AWI
2017-10-01,S08000028,75plus,266,9,Code 9 Non-AWI
2017-10-01,S08000029,18plus,2446,79,All Delay Reasons
2017-10-01,S08000029,18plus,1756,57,Health and Social Care Reasons
2017-10-01,S08000029,18plus,21,1,Patient and Family Related Reasons
2017-10-01,S08000029,18plus,548,18,Code 9 AWI
2017-10-01,S08000029,18plus,121,4,Code 9 Non-AWI
2017-10-01,S08000029,18-74,926,30,All Delay Reasons
2017-10-01,S08000029,18-74,528,17,Health and Social Care Reasons
2017-10-01,S08000029,18-74,20,1,Patient and Family Related Reasons
2017-10-01,S08000029,18-74,311,10,Code 9 AWI
2017-10-01,S08000029,18-74,67,2,Code 9 Non-AWI
2017-10-01,S08000029,75plus,1520,49,All Delay Reasons
2017-10-01,S08000029,75plus,1228,40,Health and Social Care Reasons
2017-10-01,S08000029,75plus,1,0,Patient and Family Related Reasons
2017-10-01,S08000029,75plus,237,8,Code 9 AWI
2017-10-01,S08000029,75plus,54,2,Code 9 Non-AWI
2017-10-01,S08000030,18plus,3507,113,All Delay Reasons
2017-10-01,S08000030,18plus,2409,78,Health and Social Care Reasons
2017-10-01,S08000030,18plus,145,5,Patient and Family Related Reasons
2017-10-01,S08000030,18plus,344,11,Code 9 AWI
2017-10-01,S08000030,18plus,609,20,Code 9 Non-AWI
2017-10-01,S08000030,18-74,1334,43,All Delay Reasons
2017-10-01,S08000030,18-74,598,19,Health and Social Care Reasons
2017-10-01,S08000030,18-74,71,2,Patient and Family Related Reasons
2017-10-01,S08000030,18-74,87,3,Code 9 AWI
2017-10-01,S08000030,18-74,578,19,Code 9 Non-AWI
2017-10-01,S08000030,75plus,2173,70,All Delay Reasons
2017-10-01,S08000030,75plus,1811,58,Health and Social Care Reasons
2017-10-01,S08000030,75plus,74,2,Patient and Family Related Reasons
2017-10-01,S08000030,75plus,257,8,Code 9 AWI
2017-10-01,S08000030,75plus,31,1,Code 9 Non-AWI
2017-10-01,S08000031,18plus,4600,148,All Delay Reasons
2017-10-01,S08000031,18plus,3153,102,Health and Social Care Reasons
2017-10-01,S08000031,18plus,217,7,Patient and Family Related Reasons
2017-10-01,S08000031,18plus,682,22,Code 9 AWI
2017-10-01,S08000031,18plus,548,18,Code 9 Non-AWI
2017-10-01,S08000031,18-74,2301,74,All Delay Reasons
2017-10-01,S08000031,18-74,1228,40,Health and Social Care Reasons
2017-10-01,S08000031,18-74,61,2,Patient and Family Related Reasons
2017-10-01,S08000031,18-74,464,15,Code 9 AWI
2017-10-01,S08000031,18-74,548,18,Code 9 Non-AWI
2017-10-01,S08000031,75plus,2299,74,All Delay Reasons
2017-10-01,S08000031,75plus,1925,62,Health and Social Care Reasons
2017-10-01,S08000031,75plus,156,5,Patient and Family Related Reasons
2017-10-01,S08000031,75plus,218,7,Code 9 AWI
2017-10-01,S08000031,75plus,0,0,Code 9 Non-AWI
2017-10-01,S08000032,18plus,7278,235,All Delay Reasons
2017-10-01,S08000032,18plus,5787,187,Health and Social Care Reasons
2017-10-01,S08000032,18plus,634,20,Patient and Family Related Reasons
2017-10-01,S08000032,18plus,532,17,Code 9 AWI
2017-10-01,S08000032,18plus,325,10,Code 9 Non-AWI
2017-10-01,S08000032,18-74,2042,66,All Delay Reasons
2017-10-01,S08000032,18-74,1605,52,Health and Social Care Reasons
2017-10-01,S08000032,18-74,93,3,Patient and Family Related Reasons
2017-10-01,S08000032,18-74,195,6,Code 9 AWI
2017-10-01,S08000032,18-74,149,5,Code 9 Non-AWI
2017-10-01,S08000032,75plus,5236,169,All Delay Reasons
2017-10-01,S08000032,75plus,4182,135,Health and Social Care Reasons
2017-10-01,S08000032,75plus,541,17,Patient and Family Related Reasons
2017-10-01,S08000032,75plus,337,11,Code 9 AWI
2017-10-01,S08000032,75plus,176,6,Code 9 Non-AWI
2017-10-01,S92000003,18plus,44494,1435,All Delay Reasons
2017-10-01,S92000003,18plus,33632,1085,Health and Social Care Reasons
2017-10-01,S92000003,18plus,1636,53,Patient and Family Related Reasons
2017-10-01,S92000003,18plus,5537,179,Code 9 AWI
2017-10-01,S92000003,18plus,3689,119,Code 9 Non-AWI
2017-10-01,S92000003,18-74,13544,437,All Delay Reasons
2017-10-01,S92000003,18-74,8946,289,Health and Social Care Reasons
2017-10-01,S92000003,18-74,389,13,Patient and Family Related Reasons
2017-10-01,S92000003,18-74,1814,59,Code 9 AWI
2017-10-01,S92000003,18-74,2395,77,Code 9 Non-AWI
2017-10-01,S92000003,75plus,30950,998,All Delay Reasons
2017-10-01,S92000003,75plus,24686,796,Health and Social Care Reasons
2017-10-01,S92000003,75plus,1247,40,Patient and Family Related Reasons
2017-10-01,S92000003,75plus,3723,120,Code 9 AWI
2017-10-01,S92000003,75plus,1294,42,Code 9 Non-AWI
2017-11-01,S08000015,18plus,3495,117,All Delay Reasons
2017-11-01,S08000015,18plus,2810,94,Health and Social Care Reasons
2017-11-01,S08000015,18plus,0,0,Patient and Family Related Reasons
2017-11-01,S08000015,18plus,479,16,Code 9 AWI
2017-11-01,S08000015,18plus,206,7,Code 9 Non-AWI
2017-11-01,S08000015,18-74,655,22,All Delay Reasons
2017-11-01,S08000015,18-74,404,13,Health and Social Care Reasons
2017-11-01,S08000015,18-74,0,0,Patient and Family Related Reasons
2017-11-01,S08000015,18-74,111,4,Code 9 AWI
2017-11-01,S08000015,18-74,140,5,Code 9 Non-AWI
2017-11-01,S08000015,75plus,2840,95,All Delay Reasons
2017-11-01,S08000015,75plus,2406,80,Health and Social Care Reasons
2017-11-01,S08000015,75plus,0,0,Patient and Family Related Reasons
2017-11-01,S08000015,75plus,368,12,Code 9 AWI
2017-11-01,S08000015,75plus,66,2,Code 9 Non-AWI
2017-11-01,S08000016,18plus,1405,47,All Delay Reasons
2017-11-01,S08000016,18plus,954,32,Health and Social Care Reasons
2017-11-01,S08000016,18plus,42,1,Patient and Family Related Reasons
2017-11-01,S08000016,18plus,394,13,Code 9 AWI
2017-11-01,S08000016,18plus,15,1,Code 9 Non-AWI
2017-11-01,S08000016,18-74,275,9,All Delay Reasons
2017-11-01,S08000016,18-74,94,3,Health and Social Care Reasons
2017-11-01,S08000016,18-74,30,1,Patient and Family Related Reasons
2017-11-01,S08000016,18-74,138,5,Code 9 AWI
2017-11-01,S08000016,18-74,13,0,Code 9 Non-AWI
2017-11-01,S08000016,75plus,1130,38,All Delay Reasons
2017-11-01,S08000016,75plus,860,29,Health and Social Care Reasons
2017-11-01,S08000016,75plus,12,0,Patient and Family Related Reasons
2017-11-01,S08000016,75plus,256,9,Code 9 AWI
2017-11-01,S08000016,75plus,2,0,Code 9 Non-AWI
2017-11-01,S08000017,18plus,1018,34,All Delay Reasons
2017-11-01,S08000017,18plus,907,30,Health and Social Care Reasons
2017-11-01,S08000017,18plus,30,1,Patient and Family Related Reasons
2017-11-01,S08000017,18plus,81,3,Code 9 AWI
2017-11-01,S08000017,18plus,0,0,Code 9 Non-AWI
2017-11-01,S08000017,18-74,257,9,All Delay Reasons
2017-11-01,S08000017,18-74,257,9,Health and Social Care Reasons
2017-11-01,S08000017,18-74,0,0,Patient and Family Related Reasons
2017-11-01,S08000017,18-74,0,0,Code 9 AWI
2017-11-01,S08000017,18-74,0,0,Code 9 Non-AWI
2017-11-01,S08000017,75plus,761,25,All Delay Reasons
2017-11-01,S08000017,75plus,650,22,Health and Social Care Reasons
2017-11-01,S08000017,75plus,30,1,Patient and Family Related Reasons
2017-11-01,S08000017,75plus,81,3,Code 9 AWI
2017-11-01,S08000017,75plus,0,0,Code 9 Non-AWI
2017-11-01,S08000019,18plus,2108,70,All Delay Reasons
2017-11-01,S08000019,18plus,1400,47,Health and Social Care Reasons
2017-11-01,S08000019,18plus,45,2,Patient and Family Related Reasons
2017-11-01,S08000019,18plus,543,18,Code 9 AWI
2017-11-01,S08000019,18plus,120,4,Code 9 Non-AWI
2017-11-01,S08000019,18-74,683,23,All Delay Reasons
2017-11-01,S08000019,18-74,406,14,Health and Social Care Reasons
2017-11-01,S08000019,18-74,8,0,Patient and Family Related Reasons
2017-11-01,S08000019,18-74,149,5,Code 9 AWI
2017-11-01,S08000019,18-74,120,4,Code 9 Non-AWI
2017-11-01,S08000019,75plus,1425,48,All Delay Reasons
2017-11-01,S08000019,75plus,994,33,Health and Social Care Reasons
2017-11-01,S08000019,75plus,37,1,Patient and Family Related Reasons
2017-11-01,S08000019,75plus,394,13,Code 9 AWI
2017-11-01,S08000019,75plus,0,0,Code 9 Non-AWI
2017-11-01,S08000020,18plus,3768,126,All Delay Reasons
2017-11-01,S08000020,18plus,2991,100,Health and Social Care Reasons
2017-11-01,S08000020,18plus,146,5,Patient and Family Related Reasons
2017-11-01,S08000020,18plus,571,19,Code 9 AWI
2017-11-01,S08000020,18plus,60,2,Code 9 Non-AWI
2017-11-01,S08000020,18-74,980,33,All Delay Reasons
2017-11-01,S08000020,18-74,683,23,Health and Social Care Reasons
2017-11-01,S08000020,18-74,60,2,Patient and Family Related Reasons
2017-11-01,S08000020,18-74,177,6,Code 9 AWI
2017-11-01,S08000020,18-74,60,2,Code 9 Non-AWI
2017-11-01,S08000020,75plus,2788,93,All Delay Reasons
2017-11-01,S08000020,75plus,2308,77,Health and Social Care Reasons
2017-11-01,S08000020,75plus,86,3,Patient and Family Related Reasons
2017-11-01,S08000020,75plus,394,13,Code 9 AWI
2017-11-01,S08000020,75plus,0,0,Code 9 Non-AWI
2017-11-01,S08000022,18plus,3415,114,All Delay Reasons
2017-11-01,S08000022,18plus,2200,73,Health and Social Care Reasons
2017-11-01,S08000022,18plus,53,2,Patient and Family Related Reasons
2017-11-01,S08000022,18plus,542,18,Code 9 AWI
2017-11-01,S08000022,18plus,620,21,Code 9 Non-AWI
2017-11-01,S08000022,18-74,694,23,All Delay Reasons
2017-11-01,S08000022,18-74,429,14,Health and Social Care Reasons
2017-11-01,S08000022,18-74,10,0,Patient and Family Related Reasons
2017-11-01,S08000022,18-74,125,4,Code 9 AWI
2017-11-01,S08000022,18-74,130,4,Code 9 Non-AWI
2017-11-01,S08000022,75plus,2721,91,All Delay Reasons
2017-11-01,S08000022,75plus,1771,59,Health and Social Care Reasons
2017-11-01,S08000022,75plus,43,1,Patient and Family Related Reasons
2017-11-01,S08000022,75plus,417,14,Code 9 AWI
2017-11-01,S08000022,75plus,490,16,Code 9 Non-AWI
2017-11-01,S08000024,18plus,9925,331,All Delay Reasons
2017-11-01,S08000024,18plus,8598,287,Health and Social Care Reasons
2017-11-01,S08000024,18plus,145,5,Patient and Family Related Reasons
2017-11-01,S08000024,18plus,765,26,Code 9 AWI
2017-11-01,S08000024,18plus,417,14,Code 9 Non-AWI
2017-11-01,S08000024,18-74,3012,100,All Delay Reasons
2017-11-01,S08000024,18-74,2553,85,Health and Social Care Reasons
2017-11-01,S08000024,18-74,27,1,Patient and Family Related Reasons
2017-11-01,S08000024,18-74,60,2,Code 9 AWI
2017-11-01,S08000024,18-74,372,12,Code 9 Non-AWI
2017-11-01,S08000024,75plus,6913,230,All Delay Reasons
2017-11-01,S08000024,75plus,6045,202,Health and Social Care Reasons
2017-11-01,S08000024,75plus,118,4,Patient and Family Related Reasons
2017-11-01,S08000024,75plus,705,24,Code 9 AWI
2017-11-01,S08000024,75plus,45,2,Code 9 Non-AWI
2017-11-01,S08000025,18plus,30,1,All Delay Reasons
2017-11-01,S08000025,18plus,0,0,Health and Social Care Reasons
2017-11-01,S08000025,18plus,0,0,Patient and Family Related Reasons
2017-11-01,S08000025,18plus,0,0,Code 9 AWI
2017-11-01,S08000025,18plus,30,1,Code 9 Non-AWI
2017-11-01,S08000025,18-74,30,1,All Delay Reasons
2017-11-01,S08000025,18-74,0,0,Health and Social Care Reasons
2017-11-01,S08000025,18-74,0,0,Patient and Family Related Reasons
2017-11-01,S08000025,18-74,0,0,Code 9 AWI
2017-11-01,S08000025,18-74,30,1,Code 9 Non-AWI
2017-11-01,S08000025,75plus,0,0,All Delay Reasons
2017-11-01,S08000025,75plus,0,0,Health and Social Care Reasons
2017-11-01,S08000025,75plus,0,0,Patient and Family Related Reasons
2017-11-01,S08000025,75plus,0,0,Code 9 AWI
2017-11-01,S08000025,75plus,0,0,Code 9 Non-AWI
2017-11-01,S08000026,18plus,116,4,All Delay Reasons
2017-11-01,S08000026,18plus,74,2,Health and Social Care Reasons
2017-11-01,S08000026,18plus,33,1,Patient and Family Related Reasons
2017-11-01,S08000026,18plus,0,0,Code 9 AWI
2017-11-01,S08000026,18plus,9,0,Code 9 Non-AWI
2017-11-01,S08000026,18-74,56,2,All Delay Reasons
2017-11-01,S08000026,18-74,17,1,Health and Social Care Reasons
2017-11-01,S08000026,18-74,30,1,Patient and Family Related Reasons
2017-11-01,S08000026,18-74,0,0,Code 9 AWI
2017-11-01,S08000026,18-74,9,0,Code 9 Non-AWI
2017-11-01,S08000026,75plus,60,2,All Delay Reasons
2017-11-01,S08000026,75plus,57,2,Health and Social Care Reasons
2017-11-01,S08000026,75plus,3,0,Patient and Family Related Reasons
2017-11-01,S08000026,75plus,0,0,Code 9 AWI
2017-11-01,S08000026,75plus,0,0,Code 9 Non-AWI
2017-11-01,S08000028,18plus,438,15,All Delay Reasons
2017-11-01,S08000028,18plus,226,8,Health and Social Care Reasons
2017-11-01,S08000028,18plus,0,0,Patient and Family Related Reasons
2017-11-01,S08000028,18plus,0,0,Code 9 AWI
2017-11-01,S08000028,18plus,212,7,Code 9 Non-AWI
2017-11-01,S08000028,18-74,30,1,All Delay Reasons
2017-11-01,S08000028,18-74,30,1,Health and Social Care Reasons
2017-11-01,S08000028,18-74,0,0,Patient and Family Related Reasons
2017-11-01,S08000028,18-74,0,0,Code 9 AWI
2017-11-01,S08000028,18-74,0,0,Code 9 Non-AWI
2017-11-01,S08000028,75plus,408,14,All Delay Reasons
2017-11-01,S08000028,75plus,196,7,Health and Social Care Reasons
2017-11-01,S08000028,75plus,0,0,Patient and Family Related Reasons
2017-11-01,S08000028,75plus,0,0,Code 9 AWI
2017-11-01,S08000028,75plus,212,7,Code 9 Non-AWI
2017-11-01,S08000029,18plus,1954,65,All Delay Reasons
2017-11-01,S08000029,18plus,1423,47,Health and Social Care Reasons
2017-11-01,S08000029,18plus,30,1,Patient and Family Related Reasons
2017-11-01,S08000029,18plus,463,15,Code 9 AWI
2017-11-01,S08000029,18plus,38,1,Code 9 Non-AWI
2017-11-01,S08000029,18-74,813,27,All Delay Reasons
2017-11-01,S08000029,18-74,559,19,Health and Social Care Reasons
2017-11-01,S08000029,18-74,1,0,Patient and Family Related Reasons
2017-11-01,S08000029,18-74,245,8,Code 9 AWI
2017-11-01,S08000029,18-74,8,0,Code 9 Non-AWI
2017-11-01,S08000029,75plus,1141,38,All Delay Reasons
2017-11-01,S08000029,75plus,864,29,Health and Social Care Reasons
2017-11-01,S08000029,75plus,29,1,Patient and Family Related Reasons
2017-11-01,S08000029,75plus,218,7,Code 9 AWI
2017-11-01,S08000029,75plus,30,1,Code 9 Non-AWI
2017-11-01,S08000030,18plus,2971,99,All Delay Reasons
2017-11-01,S08000030,18plus,2014,67,Health and Social Care Reasons
2017-11-01,S08000030,18plus,166,6,Patient and Family Related Reasons
2017-11-01,S08000030,18plus,290,10,Code 9 AWI
2017-11-01,S08000030,18plus,501,17,Code 9 Non-AWI
2017-11-01,S08000030,18-74,1194,40,All Delay Reasons
2017-11-01,S08000030,18-74,624,21,Health and Social Care Reasons
2017-11-01,S08000030,18-74,45,2,Patient and Family Related Reasons
2017-11-01,S08000030,18-74,52,2,Code 9 AWI
2017-11-01,S08000030,18-74,473,16,Code 9 Non-AWI
2017-11-01,S08000030,75plus,1777,59,All Delay Reasons
2017-11-01,S08000030,75plus,1390,46,Health and Social Care Reasons
2017-11-01,S08000030,75plus,121,4,Patient and Family Related Reasons
2017-11-01,S08000030,75plus,238,8,Code 9 AWI
2017-11-01,S08000030,75plus,28,1,Code 9 Non-AWI
2017-11-01,S08000031,18plus,5016,167,All Delay Reasons
2017-11-01,S08000031,18plus,3499,117,Health and Social Care Reasons
2017-11-01,S08000031,18plus,257,9,Patient and Family Related Reasons
2017-11-01,S08000031,18plus,648,22,Code 9 AWI
2017-11-01,S08000031,18plus,612,20,Code 9 Non-AWI
2017-11-01,S08000031,18-74,2303,77,All Delay Reasons
2017-11-01,S08000031,18-74,1433,48,Health and Social Care Reasons
2017-11-01,S08000031,18-74,33,1,Patient and Family Related Reasons
2017-11-01,S08000031,18-74,258,9,Code 9 AWI
2017-11-01,S08000031,18-74,579,19,Code 9 Non-AWI
2017-11-01,S08000031,75plus,2713,90,All Delay Reasons
2017-11-01,S08000031,75plus,2066,69,Health and Social Care Reasons
2017-11-01,S08000031,75plus,224,7,Patient and Family Related Reasons
2017-11-01,S08000031,75plus,390,13,Code 9 AWI
2017-11-01,S08000031,75plus,33,1,Code 9 Non-AWI
2017-11-01,S08000032,18plus,6661,222,All Delay Reasons
2017-11-01,S08000032,18plus,5462,182,Health and Social Care Reasons
2017-11-01,S08000032,18plus,385,13,Patient and Family Related Reasons
2017-11-01,S08000032,18plus,496,17,Code 9 AWI
2017-11-01,S08000032,18plus,318,11,Code 9 Non-AWI
2017-11-01,S08000032,18-74,1988,66,All Delay Reasons
2017-11-01,S08000032,18-74,1413,47,Health and Social Care Reasons
2017-11-01,S08000032,18-74,82,3,Patient and Family Related Reasons
2017-11-01,S08000032,18-74,257,9,Code 9 AWI
2017-11-01,S08000032,18-74,236,8,Code 9 Non-AWI
2017-11-01,S08000032,75plus,4673,156,All Delay Reasons
2017-11-01,S08000032,75plus,4049,135,Health and Social Care Reasons
2017-11-01,S08000032,75plus,303,10,Patient and Family Related Reasons
2017-11-01,S08000032,75plus,239,8,Code 9 AWI
2017-11-01,S08000032,75plus,82,3,Code 9 Non-AWI
2017-11-01,S92000003,18plus,42320,1411,All Delay Reasons
2017-11-01,S92000003,18plus,32558,1085,Health and Social Care Reasons
2017-11-01,S92000003,18plus,1332,44,Patient and Family Related Reasons
2017-11-01,S92000003,18plus,5272,176,Code 9 AWI
2017-11-01,S92000003,18plus,3158,105,Code 9 Non-AWI
2017-11-01,S92000003,18-74,12970,432,All Delay Reasons
2017-11-01,S92000003,18-74,8902,297,Health and Social Care Reasons
2017-11-01,S92000003,18-74,326,11,Patient and Family Related Reasons
2017-11-01,S92000003,18-74,1572,52,Code 9 AWI
2017-11-01,S92000003,18-74,2170,72,Code 9 Non-AWI
2017-11-01,S92000003,75plus,29350,978,All Delay Reasons
2017-11-01,S92000003,75plus,23656,789,Health and Social Care Reasons
2017-11-01,S92000003,75plus,1006,34,Patient and Family Related Reasons
2017-11-01,S92000003,75plus,3700,123,Code 9 AWI
2017-11-01,S92000003,75plus,988,33,Code 9 Non-AWI
2017-12-01,S08000015,18plus,3124,101,All Delay Reasons
2017-12-01,S08000015,18plus,2578,83,Health and Social Care Reasons
2017-12-01,S08000015,18plus,0,0,Patient and Family Related Reasons
2017-12-01,S08000015,18plus,393,13,Code 9 AWI
2017-12-01,S08000015,18plus,153,5,Code 9 Non-AWI
2017-12-01,S08000015,18-74,625,20,All Delay Reasons
2017-12-01,S08000015,18-74,408,13,Health and Social Care Reasons
2017-12-01,S08000015,18-74,0,0,Patient and Family Related Reasons
2017-12-01,S08000015,18-74,95,3,Code 9 AWI
2017-12-01,S08000015,18-74,122,4,Code 9 Non-AWI
2017-12-01,S08000015,75plus,2499,81,All Delay Reasons
2017-12-01,S08000015,75plus,2170,70,Health and Social Care Reasons
2017-12-01,S08000015,75plus,0,0,Patient and Family Related Reasons
2017-12-01,S08000015,75plus,298,10,Code 9 AWI
2017-12-01,S08000015,75plus,31,1,Code 9 Non-AWI
2017-12-01,S08000016,18plus,1405,45,All Delay Reasons
2017-12-01,S08000016,18plus,1017,33,Health and Social Care Reasons
2017-12-01,S08000016,18plus,74,2,Patient and Family Related Reasons
2017-12-01,S08000016,18plus,309,10,Code 9 AWI
2017-12-01,S08000016,18plus,5,0,Code 9 Non-AWI
2017-12-01,S08000016,18-74,314,10,All Delay Reasons
2017-12-01,S08000016,18-74,161,5,Health and Social Care Reasons
2017-12-01,S08000016,18-74,43,1,Patient and Family Related Reasons
2017-12-01,S08000016,18-74,105,3,Code 9 AWI
2017-12-01,S08000016,18-74,5,0,Code 9 Non-AWI
2017-12-01,S08000016,75plus,1091,35,All Delay Reasons
2017-12-01,S08000016,75plus,856,28,Health and Social Care Reasons
2017-12-01,S08000016,75plus,31,1,Patient and Family Related Reasons
2017-12-01,S08000016,75plus,204,7,Code 9 AWI
2017-12-01,S08000016,75plus,0,0,Code 9 Non-AWI
2017-12-01,S08000017,18plus,1143,37,All Delay Reasons
2017-12-01,S08000017,18plus,1000,32,Health and Social Care Reasons
2017-12-01,S08000017,18plus,33,1,Patient and Family Related Reasons
2017-12-01,S08000017,18plus,79,3,Code 9 AWI
2017-12-01,S08000017,18plus,31,1,Code 9 Non-AWI
2017-12-01,S08000017,18-74,328,11,All Delay Reasons
2017-12-01,S08000017,18-74,310,10,Health and Social Care Reasons
2017-12-01,S08000017,18-74,0,0,Patient and Family Related Reasons
2017-12-01,S08000017,18-74,0,0,Code 9 AWI
2017-12-01,S08000017,18-74,18,1,Code 9 Non-AWI
2017-12-01,S08000017,75plus,815,26,All Delay Reasons
2017-12-01,S08000017,75plus,690,22,Health and Social Care Reasons
2017-12-01,S08000017,75plus,33,1,Patient and Family Related Reasons
2017-12-01,S08000017,75plus,79,3,Code 9 AWI
2017-12-01,S08000017,75plus,13,0,Code 9 Non-AWI
2017-12-01,S08000019,18plus,2135,69,All Delay Reasons
2017-12-01,S08000019,18plus,1385,45,Health and Social Care Reasons
2017-12-01,S08000019,18plus,80,3,Patient and Family Related Reasons
2017-12-01,S08000019,18plus,509,16,Code 9 AWI
2017-12-01,S08000019,18plus,161,5,Code 9 Non-AWI
2017-12-01,S08000019,18-74,544,18,All Delay Reasons
2017-12-01,S08000019,18-74,272,9,Health and Social Care Reasons
2017-12-01,S08000019,18-74,0,0,Patient and Family Related Reasons
2017-12-01,S08000019,18-74,133,4,Code 9 AWI
2017-12-01,S08000019,18-74,139,4,Code 9 Non-AWI
2017-12-01,S08000019,75plus,1591,51,All Delay Reasons
2017-12-01,S08000019,75plus,1113,36,Health and Social Care Reasons
2017-12-01,S08000019,75plus,80,3,Patient and Family Related Reasons
2017-12-01,S08000019,75plus,376,12,Code 9 AWI
2017-12-01,S08000019,75plus,22,1,Code 9 Non-AWI
2017-12-01,S08000020,18plus,4433,143,All Delay Reasons
2017-12-01,S08000020,18plus,3704,119,Health and Social Care Reasons
2017-12-01,S08000020,18plus,85,3,Patient and Family Related Reasons
2017-12-01,S08000020,18plus,563,18,Code 9 AWI
2017-12-01,S08000020,18plus,81,3,Code 9 Non-AWI
2017-12-01,S08000020,18-74,1249,40,All Delay Reasons
2017-12-01,S08000020,18-74,983,32,Health and Social Care Reasons
2017-12-01,S08000020,18-74,49,2,Patient and Family Related Reasons
2017-12-01,S08000020,18-74,155,5,Code 9 AWI
2017-12-01,S08000020,18-74,62,2,Code 9 Non-AWI
2017-12-01,S08000020,75plus,3184,103,All Delay Reasons
2017-12-01,S08000020,75plus,2721,88,Health and Social Care Reasons
2017-12-01,S08000020,75plus,36,1,Patient and Family Related Reasons
2017-12-01,S08000020,75plus,408,13,Code 9 AWI
2017-12-01,S08000020,75plus,19,1,Code 9 Non-AWI
2017-12-01,S08000022,18plus,3674,119,All Delay Reasons
2017-12-01,S08000022,18plus,2413,78,Health and Social Care Reasons
2017-12-01,S08000022,18plus,255,8,Patient and Family Related Reasons
2017-12-01,S08000022,18plus,522,17,Code 9 AWI
2017-12-01,S08000022,18plus,484,16,Code 9 Non-AWI
2017-12-01,S08000022,18-74,593,19,All Delay Reasons
2017-12-01,S08000022,18-74,372,12,Health and Social Care Reasons
2017-12-01,S08000022,18-74,10,0,Patient and Family Related Reasons
2017-12-01,S08000022,18-74,129,4,Code 9 AWI
2017-12-01,S08000022,18-74,82,3,Code 9 Non-AWI
2017-12-01,S08000022,75plus,3081,99,All Delay Reasons
2017-12-01,S08000022,75plus,2041,66,Health and Social Care Reasons
2017-12-01,S08000022,75plus,245,8,Patient and Family Related Reasons
2017-12-01,S08000022,75plus,393,13,Code 9 AWI
2017-12-01,S08000022,75plus,402,13,Code 9 Non-AWI
2017-12-01,S08000024,18plus,9855,318,All Delay Reasons
2017-12-01,S08000024,18plus,8512,275,Health and Social Care Reasons
2017-12-01,S08000024,18plus,216,7,Patient and Family Related Reasons
2017-12-01,S08000024,18plus,761,25,Code 9 AWI
2017-12-01,S08000024,18plus,366,12,Code 9 Non-AWI
2017-12-01,S08000024,18-74,3084,99,All Delay Reasons
2017-12-01,S08000024,18-74,2537,82,Health and Social Care Reasons
2017-12-01,S08000024,18-74,87,3,Patient and Family Related Reasons
2017-12-01,S08000024,18-74,125,4,Code 9 AWI
2017-12-01,S08000024,18-74,335,11,Code 9 Non-AWI
2017-12-01,S08000024,75plus,6771,218,All Delay Reasons
2017-12-01,S08000024,75plus,5975,193,Health and Social Care Reasons
2017-12-01,S08000024,75plus,129,4,Patient and Family Related Reasons
2017-12-01,S08000024,75plus,636,21,Code 9 AWI
2017-12-01,S08000024,75plus,31,1,Code 9 Non-AWI
2017-12-01,S08000025,18plus,2,0,All Delay Reasons
